"protocol" "tgs" "np" "nc" "tf"
"ethersbus" "200100" 1 1 1
"ethersbus" "0152a8" 1 1 1
"ethersbus" "190100" 1 1 1
"ethersbus" "0a1be8" 1 1 1
"ethersbus" "000b01" 1 1 1
"ethersbus" "0b000a" 1 1 1
"ethersbus" "330000" 1 1 1
"ethersbus" "1bca3f" 1 1 1
"ethersbus" "860000" 1 1 1
"ethersbus" "e20000" 1 1 1
"ethersbus" "000e00" 1 1 1
"ethersbus" "0000c0" 1 1 1
"ethersbus" "014d6f" 1 1 1
"ethersbus" "100020" 1 1 1
"ethersbus" "757a0a" 1 1 1
"ethersbus" "001b01" 1 1 1
"ethersbus" "5237dc" 1 1 1
"ethersbus" "ce0000" 1 1 1
"ethersbus" "00ce00" 1 1 1
"ethersbus" "800000" 1 1 1
"ethersbus" "09000a" 1 1 1
"ethersbus" "030004" 1 1 1
"ethersbus" "015243" 1 1 1
"ethersbus" "1e000a" 1 1 1
"ethersbus" "f12f00" 1 1 1
"ethersbus" "000014" 1 1 1
"ethersbus" "1b545b" 1 1 1
"ethersbus" "000601" 1 1 1
"ethersbus" "510a00" 1 1 1
"ethersbus" "210100" 1 1 1
"ethersbus" "150152" 1 1 1
"ethersbus" "588e00" 1 1 1
"ethersbus" "1b767a" 1 1 1
"ethersbus" "000b00" 1 1 1
"ethersbus" "0119a6" 1 1 1
"ethersbus" "0152a9" 1 1 1
"ethersbus" "010000" 1 1 1
"ethersbus" "1f0152" 1 1 1
"ethersbus" "1c000a" 1 1 1
"ethersbus" "0152b3" 1 1 1
"ethersbus" "000180" 1 1 1
"ethersbus" "00c444" 1 1 1
"ethersbus" "6c0d00" 1 1 1
"ethersbus" "070300" 1 1 1
"ethersbus" "bf0000" 1 1 1
"ethersbus" "5274bf" 1 1 1
"ethersbus" "1bf601" 1 1 1
"ethersbus" "1ba72c" 1 1 1
"ethersbus" "001601" 1 1 1
"ethersbus" "cf8700" 1 1 1
"ethersbus" "ec0000" 1 1 1
"ethersbus" "00ec00" 1 1 1
"ethersbus" "9b1200" 1 1 1
"ethersbus" "52eb1c" 1 1 1
"ethersbus" "02fd53" 1 1 1
"ethersbus" "002001" 1 1 1
"ethersbus" "20000a" 1 1 1
"ethersbus" "19000a" 1 1 1
"ethersbus" "1b0576" 1 1 1
"ethersbus" "001000" 1 1 1
"ethersbus" "52a94d" 1 1 1
"ethersbus" "00005d" 1 1 1
"ethersbus" "0a1e00" 1 1 1
"ethersbus" "529f4f" 1 1 1
"ethersbus" "000015" 1 1 1
"ethersbus" "0f0000" 1 1 1
"ethersbus" "00000f" 1 1 1
"ethersbus" "110152" 1 1 1
"ethersbus" "0a2074" 1 1 1
"ethersbus" "000600" 1 1 1
"ethersbus" "656c0d" 1 1 1
"ethersbus" "001a5d" 1 1 1
"ethersbus" "1b0152" 1 1 1
"ethersbus" "01529f" 1 1 1
"ethersbus" "17000a" 1 1 1
"ethersbus" "0152eb" 1 1 1
"ethersbus" "d90000" 1 1 1
"ethersbus" "470110" 1 1 1
"ethersbus" "4e757a" 1 1 1
"ethersbus" "0a1ba7" 1 1 1
"ethersbus" "0a0203" 1 1 1
"ethersbus" "0152dd" 1 1 1
"ethersbus" "1be81e" 1 1 1
"ethersbus" "9eaa00" 1 1 1
"ethersbus" "5236ee" 1 1 1
"ethersbus" "0a000a" 1 1 1
"ethersbus" "090100" 1 1 1
"ethersbus" "010144" 1 1 1
"ethersbus" "04e2b8" 1 1 1
"ethersbus" "690000" 1 1 1
"ethersbus" "001d00" 1 1 1
"ethersbus" "0152f1" 1 1 1
